species,island,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,gender,year
Adelie,Torgersen,6563,11,39.1,18.7,181,3750,male,2007
Adelie,Torgersen,4890,14,39.5,17.4,186,3800,female,2007
Adelie,Torgersen,7184,11,40.3,18,195,3250,female,2007
Adelie,Torgersen,4169,8,,,,992,,2007
Adelie,Torgersen,4774,8,36.7,19.3,193,3450,female,2007
Adelie,Torgersen,4403,13,39.3,20.6,190,3650,male,2007
Adelie,Torgersen,5071,11,38.9,17.8,181,3625,female,2007
Adelie,Torgersen,6799,9,39.2,19.6,195,4675,male,2007
Adelie,Torgersen,5593,8,34.1,18.1,193,3475,,2007
Adelie,Torgersen,6275,7,42,20.2,190,4250,,2007
Adelie,Torgersen,5135,10,37.8,17.1,186,3300,,2007
Adelie,Torgersen,6021,7,37.8,17.3,180,3700,,2007
Adelie,Torgersen,6644,12,41.1,17.6,182,3200,female,2007
Adelie,Torgersen,4812,10,38.6,21.2,191,3800,male,2007
Adelie,Torgersen,4615,9,34.6,21.1,198,4400,male,2007
Adelie,Torgersen,7028,10,36.6,17.8,185,3700,female,2007
Adelie,Torgersen,3991,12,38.7,19,195,3450,female,2007
adelie,Torgersen,6543,8,82.4,20.7,197,4500,,2007
Adelie,Torgersen,5553,8,34.4,18.4,184,3325,female,2007
Adelie,Torgersen,7133,7,46,21.5,194,4200,male,2007
Adelie,Biscoe,4152,7,37.8,18.3,174,3400,female,2007
,,4138,8,82.47,18.7,180,3600,male,2007
Adelie,Biscoe,4017,12,35.9,19.2,189,3800,female,2007
Adelie,Biscoe,4538,11,38.2,18.1,185,3950,male,2007
Adelie,Biscoe,6703,10,38.8,17.2,180,3800,male,2007
Adelie,Biscoe,5974,13,35.3,18.9,187,3800,female,2007
Adelie,Biscoe,5039,8,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,6550,8,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,3900,11,37.9,18.6,172,3150,female,2007
Adelie,Biscoe,5254,7,40.5,18.9,180,3950,male,2007
Adelie,Dream,5501,11,39.5,16.7,178,3250,female,2007
Adelie,Dream,3668,10,37.2,18.1,178,3900,male,2007
Adelie,Dream,6701,9,39.5,17.8,188,3300,female,2007
Adelie,Dream,6745,10,40.9,18.9,184,3900,male,2007
Adelie,Dream,4519,14,36.4,17,195,3325,female,2007
Adelie,Dream,4059,12,39.2,21.1,196,4150,male,2007
,Dream,3758,7,38.8,89.21,190,3950,male,2007
Adelie,Dream,6982,9,42.2,18.5,180,3550,female,2007
Adelie,Dream,5319,7,37.6,19.3,181,3300,female,2007
Adelie,Dream,4416,7,39.8,19.1,184,4650,male,2007
Adelie,Dream,6061,13,36.5,18,182,3150,female,2007
Adelie,Dream,3828,14,40.8,18.4,195,3900,male,2007
Adelie,Dream,4814,9,36,18.5,186,3100,female,2007
Adelie,Dream,7108,12,44.1,19.7,196,4400,male,2007
Adelie,Dream,3950,13,37,16.9,185,3000,female,2007
